,Model Name,Covariates,Log-Likelihood,AIC,BIC,SSE,PSSE,Critic (Mean),Critic (Median)
45,GM,"E, F",-22.547029859133225,53.09405971826645,55.353857148112596,9.780891986930996,2.789781912206299,1.0,1.0
48,GM,"E, F, C",-21.980893380567373,53.961786761134746,56.78653354844243,6.723953204812297,0.9507381781852193,0.9997800272393174,0.9994016027199215
46,GM,"E, C",-22.508281880598652,53.016563761197304,55.27636119104345,16.190191913057358,6.785576635511591,0.9993492360539803,0.9996072939213869
14,IFRGSB,"E, C",-22.07658518999542,54.15317037999084,56.97791716729852,8.066084816434248,6.59773418346371,0.9993358843201747,0.99902203975518
38,DW3,"E, C",-22.08236424991987,54.16472849983974,56.98947528714742,8.44078751369276,4.967983859457988,0.9992739809229496,0.9989991170292806
10,IFRGSB,E,-23.00379093993805,54.0075818798761,56.267379309722244,9.437632820886986,7.845085184791569,0.9986863307514271,0.9981862220371021
43,GM,F,-23.35915554996675,52.7183110999335,54.41315917231811,19.590068128432662,3.5885916368589266,0.9986837573432058,0.9962644019600055
22,S,"E, C",-22.281131127977638,54.562262255955275,57.38700904326296,12.058844006831672,4.615324967457691,0.9982522424158452,0.9982107052939507
19,S,F,-23.03832695180666,54.07665390361332,56.336451333459465,12.962307503154772,6.592745511096279,0.998162829183397,0.998049081068035
13,IFRGSB,"E, F",-22.5058968900401,55.0117937800802,57.83654056738788,8.703469785564852,6.645894204199373,0.9979864731380714,0.997319168604126
21,S,"E, F",-22.483989849452563,54.967979698905125,57.79272648621281,9.829129928953128,5.334580789840643,0.9979169692881203,0.9974060632017285
61,TL,"E, F",-22.54702985913324,55.09405971826648,57.91880650557416,9.78089198693085,6.520270872128658,0.9977357659451014,0.9971560140792933
37,DW3,"E, F",-22.547004244682746,55.09400848936549,57.918755276673174,9.80483738083817,6.765730824024272,0.997732981288287,0.9971561156793867
24,S,"E, F, C",-21.938102793386726,55.87620558677345,59.26590173154267,6.843882465710654,0.7569731069281314,0.9976283755772697,0.9956048175532516
16,IFRGSB,"E, F, C",-21.93292683928913,55.86585367857826,59.25554982334748,7.003209722197713,4.004269035827357,0.9976246926324764,0.9956253480510485
40,DW3,"E, F, C",-21.94272792204712,55.88545584409424,59.275151988863456,7.0464013883078636,2.3980771112617703,0.9975904643979121,0.9955864719126253
34,DW3,E,-23.27720048940369,54.55440097880738,56.814198408653525,12.622788269680704,11.461571266911388,0.9974949309506665,0.9971005248608172
47,GM,"F, C",-23.123883765377904,54.24776753075581,56.507564960601954,18.44996885140521,2.6649742957625877,0.9972535012411385,0.9971887320759273
35,DW3,F,-23.25490756929758,54.50981513859516,56.7696125684413,16.292992739552226,8.414900608103816,0.9971225887903264,0.9971890490563241
62,TL,"E, C",-22.508281880598666,55.01656376119733,57.841310548505014,16.19019191330461,6.785576635810643,0.9970850019990521,0.9973097085041163
59,TL,F,-23.354722873134186,54.70944574626837,56.96924317611452,18.848838014315792,9.501362341406397,0.9965212205613093,0.9962818169538928
42,GM,E,-23.70828431954012,53.41656863908024,55.11141671146485,29.941612867270134,11.266042556535718,0.9964116578215801,0.9948927532660689
11,IFRGSB,F,-23.35843873894084,54.71687747788168,56.976674907727826,19.934683086697405,9.430317620982366,0.9963804799690016,0.996267218149885
23,S,"F, C",-22.94476552703697,55.88953105407394,58.71427784138162,12.14437978505022,4.7935002690379385,0.9962737959190517,0.995578389722566
39,DW3,"F, C",-23.062482112990942,56.124964225981884,58.949711013289566,14.864135591967283,6.529886795364829,0.9955997540053302,0.9951114651588964
12,IFRGSB,C,-23.565035673287177,55.130071346574354,57.3898687764205,23.012553775340237,8.494558061147341,0.9954000518692645,0.9954555450943708
44,GM,C,-24.137137070425034,54.27427414085007,55.96912221323468,29.909162705170356,10.223683128113818,0.9951436293372787,0.9932078869161509
63,TL,"F, C",-23.120716803142223,56.241433606284446,59.06618039359213,17.618059003433864,8.29590202005628,0.9950980435734292,0.9948804764068104
15,IFRGSB,"F, C",-23.1215434476403,56.2430868952806,59.06783368258828,19.236096888969442,7.91602311325973,0.9949022937671042,0.9948771975092919
